iter	Passed	Remaining
527	170689	152585
528	171002	152253
529	171304	151911
530	171614	151576
531	171929	151246
532	172275	150943
533	172593	150615
534	172894	150273
535	173256	149983
536	173583	149662
537	173950	149377
538	174274	149054
539	174575	148712
540	174878	148371
541	175176	148027
542	175491	147697
543	175788	147351
544	176095	147015
545	176405	146681
546	176700	146335
547	176999	145992
548	177303	145654
549	177628	145332
550	177956	145013
551	178267	144680
552	178616	144379
553	178930	144048
554	179237	143712
555	179550	143381
556	179858	143047
557	180170	142715
558	180481	142383
559	180785	142045
560	181100	141716
561	181411	141384
562	181710	141043
563	182008	140701
564	182315	140366
565	182649	140052
566	182954	139716
567	183252	139375
568	183556	139038
569	183861	138702
570	184169	138369
571	184479	138037
572	184807	137718
573	185119	137388
574	185442	137066
575	185807	136775
576	186157	136472
577	186511	136172
578	186823	135842
579	187153	135524
580	187500	135219
581	187816	134892
582	188135	134566
583	188451	134239
584	188749	133899
585	189052	133562
586	189359	133229
587	189663	132893
588	189978	132565
589	190326	132260
590	190627	131923
591	190919	131579
592	191224	131245
593	191528	130910
594	191828	130572
595	192132	130237
596	192431	129899
597	192738	129566
598	193042	129232
599	193351	128900
600	193688	128588
601	194015	128269
602	194321	127936
603	194642	127613
604	194963	127289
605	195275	126961
606	195579	126627
607	195881	126291
608	196179	125954
609	196481	125619
610	196785	125285
611	197087	124950
612	197392	124618
613	197718	124298
614	198019	123963
615	198340	123640
616	198651	123311
617	198957	122980
618	199255	122643
619	199559	122310
620	199886	121991
621	200207	121669
622	200526	121345
623	200858	121030
624	201204	120722
625	201521	120397
626	201836	120071
627	202161	119751
628	202487	119432
629	202797	119103
630	203137	118792
631	203460	118470
632	203789	118153
633	204103	117826
634	204422	117502
635	204740	117178
636	205046	116847
637	205361	116521
638	205684	116200
639	206004	115877
640	206322	115553
641	206631	115224
642	206953	114902
643	207258	114571
644	207564	114240
645	207876	113913
646	208193	113589
647	208510	113264
648	208835	112944
649	209151	112620
650	209455	112288
651	209778	111967
652	210083	111636
653	210391	111307
654	210719	110989
655	211036	110665
656	211344	110336
657	211656	110009
658	212005	109702
659	212345	109390
660	212647	109058
661	212946	108725
662	213246	108392
663	213555	108064
664	213853	107730
665	214151	107397
666	214451	107064
667	214751	106732
668	215057	106403
669	215351	106068
670	215643	105732
671	215942	105400
672	216234	105064
673	216533	104732
674	216838	104403
675	217152	104078
676	217462	103752
677	217773	103426
678	218079	103098
679	218387	102770
680	218691	102441
681	219004	102116
682	219315	101790
683	219624	101464
684	219932	101137
685	220238	100809
686	220554	100485
687	220865	100159
688	221170	99831
689	221505	99516
690	221821	99193
691	222118	98861
692	222418	98531
693	222710	98197
694	223003	97864
695	223301	97533
696	223609	97207
697	223903	96875
698	224198	96543
699	224493	96211
700	224789	95880
701	225081	95547
702	225387	95220
703	225692	94893
704	225987	94562
705	226281	94230
706	226576	93899
707	226874	93569
708	227174	93240
709	227486	92916
710	227781	92586
711	228073	92254
712	228384	91930
713	228683	91601
714	228980	91271
715	229289	90947
716	229588	90618
717	229885	90289
718	230186	89961
719	230486	89633
720	230783	89304
721	231079	88975
722	231377	88646
723	231669	88316
724	231966	87987
725	232265	87659
726	232566	87332
727	232872	87007
728	233176	86681
729	233488	86358
730	233796	86034
731	234099	85708
732	234408	85384
733	234731	85066
734	235045	84744
735	235352	84419
736	235683	84104
737	235986	83778
738	236294	83454
739	236605	83131
740	236929	82813
741	237243	82491
742	237562	82171
743	237871	81848
744	238177	81523
745	238489	81201
746	238786	80874
747	239083	80546
748	239381	80220
749	239688	79896
750	239987	79569
751	240287	79243
752	240586	78917
753	240880	78589
754	241179	78263
755	241476	77936
756	241776	77611
757	242074	77284
758	242375	76959
759	242677	76634
760	242977	76309
761	243283	75986
